filename,信号数,平均收益,胜率,最大收益,最大亏损,盈亏比,策略评分
000543.SZ_皖能电力.csv,5,2.87%,80.00%,11.37%,-3.38%,1.312,1.049
000544.SZ_中原环保.csv,9,1.45%,44.44%,28.29%,-17.07%,1.647,0.732
000545.SZ_金浦钛业.csv,20,1.09%,55.00%,20.36%,-17.65%,1.079,0.594
000546.SZ_金圆股份.csv,10,-0.10%,40.00%,12.23%,-17.19%,1.442,0.577
000547.SZ_航天发展.csv,7,-5.95%,14.29%,6.70%,-17.93%,0.832,0.119
000548.SZ_湖南投资.csv,6,8.12%,83.33%,17.71%,-1.26%,7.911,6.593
000550.SZ_江铃汽车.csv,12,-1.73%,33.33%,6.98%,-11.57%,0.718,0.239
000551.SZ_创元科技.csv,6,-1.24%,50.00%,10.16%,-8.24%,0.597,0.298
000552.SZ_甘肃能化.csv,3,10.51%,100.00%,24.92%,3.14%,0.105,0.105
000553.SZ_安道麦A.csv,5,0.17%,60.00%,8.32%,-7.78%,0.727,0.436
000554.SZ_泰山石油.csv,4,-9.29%,0.00%,-2.91%,-18.26%,0.0,0.0
000555.SZ_神州信息.csv,12,2.38%,66.67%,20.87%,-13.97%,1.05,0.7
000557.SZ_西部创业.csv,3,6.10%,66.67%,14.81%,-4.60%,2.489,1.659
000558.SZ_天府文旅.csv,11,1.48%,36.36%,21.14%,-13.39%,2.049,0.745
000559.SZ_万向钱潮.csv,4,-2.12%,50.00%,1.09%,-7.01%,0.135,0.067
000560.SZ_我爱我家.csv,5,-0.14%,40.00%,7.41%,-6.07%,1.422,0.569
000561.SZ_烽火电子.csv,0,N/A,N/A,N/A,N/A,,
000563.SZ_陕国投A.csv,3,8.91%,33.33%,30.94%,-2.43%,14.682,4.894
000564.SZ_供销大集.csv,13,-4.33%,23.08%,8.57%,-16.58%,0.418,0.097
000565.SZ_渝三峡A.csv,5,4.64%,60.00%,13.53%,-5.46%,2.128,1.277
000566.SZ_海南海药.csv,14,5.37%,78.57%,27.22%,-6.15%,3.132,2.461
000567.SZ_海德股份.csv,7,-0.53%,71.43%,13.57%,-17.93%,0.353,0.252
000568.SZ_泸州老窖.csv,9,4.29%,77.78%,11.32%,-8.87%,1.494,1.162
000570.SZ_苏常柴A.csv,5,-3.57%,0.00%,-0.82%,-6.94%,0.0,0.0
000571.SZ_新大洲A.csv,6,-4.89%,33.33%,5.12%,-13.49%,0.349,0.116
000572.SZ_海马汽车.csv,4,7.96%,75.00%,35.34%,-8.22%,1.625,1.219
000573.SZ_粤宏远A.csv,1,2.48%,100.00%,2.48%,2.48%,0.025,0.025
000576.SZ_甘化科工.csv,9,0.35%,33.33%,17.20%,-11.86%,2.176,0.725
