ts_code,period,reason
832145.BJ,20250827-20250829,死叉
832171.BJ,20250827-20250829,死叉
832175.BJ,20250827-20250829,死叉
832471.BJ,20250827-20250829,死叉
833075.BJ,20250827-20250829,死叉
832982.BJ,20250827-20250829,死叉
833171.BJ,20250827-20250829,死叉
833284.BJ,20250827-20250829,死叉
833429.BJ,20250827-20250829,死叉
833455.BJ,20250827-20250829,死叉
833533.BJ,20250827-20250829,死叉
833781.BJ,20250827-20250829,死叉
834033.BJ,20250827-20250829,死叉
834058.BJ,20250827-20250829,死叉
834765.BJ,20250827-20250829,死叉
835237.BJ,20250827-20250829,死叉
835305.BJ,20250827-20250829,死叉
835985.BJ,20250827-20250829,死叉
836826.BJ,20250827-20250829,死叉
837023.BJ,20250827-20250829,死叉
837046.BJ,20250827-20250829,死叉
838275.BJ,20250827-20250829,死叉
838924.BJ,20250827-20250829,死叉
839725.BJ,20250827-20250829,死叉
839680.BJ,20250825-20250827,死叉
870299.BJ,20250827-20250829,死叉
870436.BJ,20250827-20250829,死叉
870866.BJ,20250827-20250829,死叉
871396.BJ,20250827-20250829,死叉
872895.BJ,20250827-20250829,死叉
873122.BJ,20250827-20250829,死叉
873339.BJ,20250827-20250829,死叉
873576.BJ,20250827-20250829,死叉
873703.BJ,20250827-20250829,死叉
920002.BJ,20250827-20250829,死叉
920008.BJ,20250827-20250829,死叉
920016.BJ,20250827-20250829,死叉
920099.BJ,20250827-20250829,死叉
920108.BJ,20250827-20250829,死叉
920128.BJ,20250827-20250829,死叉
920167.BJ,20250827-20250829,死叉
